"https://pharmacieblanchard.pharm-upp.fr";"PHARMACIE BLANCHARD ";"VIRGINIE BLANCHARD,NICOLE ARSAC,MARTINE FELIX-POUDEVIGNE";"10 AV LEON AUBIN 26250 - LIVRON-SUR-DRÔME";DROME;AUVERGNE-RHONE-ALPES
epharmashop.fr;"PHARMACIE DE MONTALIEU ";"VIRGINIE BREMONT,EMILIE DECHAUX,Mathilde MONTHIOUX";"94 GRANDE RUE 38390 - MONTALIEU-VERCIEU";ISERE;AUVERGNE-RHONE-ALPES
grandepharmacienormale.pharminfo.fr;"GRANDE PHARMACIE NORMALE ";"Christelle VILLARET,FLORENCE HEBRARD,MATHILDE BERAS";"5 R PHILIS DE LA CHARGE 38000 - GRENOBLE";ISERE;AUVERGNE-RHONE-ALPES
http:///bioexpert.pharminfo.fr/;"PHARMACIE DREVON-BALAS ";"FRÉDÉRIC DREVON-BALAS,PASCALE JOUVE-LESCOMMERES";"28 R DE MARGNOLLES 69300 - CALUIRE-ET-CUIRE";RHONE;AUVERGNE-RHONE-ALPES
http://gare-pharmaciemontblancleman.com;"SELARL PHARMACIE DE LA GARE ";"CHRISTINE DESINGUE,FLAVY LENGLARD,Clarisse FRADIN";"20 PL DES ARCADES 74800 - SAINT-PIERRE-EN-FAUCIGNY";HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
http://grande-pharmacie-lyonnaise.fr/;"GDE PHCIE LYONNAISE-PHCIE PRINCIPALE ";"Amaury BILLON,Jessica ELOY,Magalie BOISSON HUGON,ANTONIN VAGNET,Natacha DESSOLIN,JUSTINE TROTTIER,WAFA BABIN-AL NACHAR,CHRISTOPHER KEN,OUMAR MEY,Stéphanie HÉRÈS,Katia AMRIOU,Cyril FERLAY,Laurie MAURIN,FLORE HAUCK,JULIEN AUXENFANS,CELINE MANE-MERENDET,CATHERINE POISSON,MARYLINE RABUT,BEATRICE CHARRETON,Charlotte PASCAL,SANDRINE ZIO,STEPHANIE BARBEY,BENJAMIN BOUET,Hélène WUILQUE,Guillaume GIROUIN";"22 R DE LA RÉPUBLIQUE 69002 - LYON";RHONE;AUVERGNE-RHONE-ALPES
http://pharmacie-des-lions.forumsante.com/boutique;"PHARMACIE DES LIONS ";"MARIE-PIERRE RASCOUSSIER,Marin ROUX,Adeline COTTAZ,LAURENCE MOLLIER-SOCQUET JUGLARD";"260 PL CHARLES ALBERT 74700 - SALLANCHES";HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
http://pharmaciebelair.pharmavie.fr;"PHARMACIE BEL AIR ";"ELISABETH KOCHOWSKI,Aurore MAUPOIX,DAMIEN MATHIEU";"CCAL BEL AIR R DU 8 MAI 1945 69800 - SAINT-PRIEST";RHONE;AUVERGNE-RHONE-ALPES
http://pharmaciebraultscaillet.pharmavie.fr;"PHARMACIE CHAMP DE MARS - VICTOR HUGO ";"MARTINE FELIX-POUDEVIGNE,BEATRICE MEGE-MOREL";"36 AV VICTOR HUGO 26000 - VALENCE";DROME;AUVERGNE-RHONE-ALPES
http://pharmaciedesmarais.pharmavie.fr;"PHARMACIE ANDREA ";"CLAIRE NIEL-ANCEL,Julie VESCOVO,MARTINE BLANCHIN,PIERRE ANDREA";"676 R NATIONALE 69400 - VILLEFRANCHE-SUR-SAÔNE";RHONE;AUVERGNE-RHONE-ALPES
